MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	X		meiotic cell cycle			IBA	PTN001064565 	J:265628 	
MGI:1920579	1700040F15Rik	RIKEN cDNA 1700040F15 gene	Y		meiotic cell cycle			IBA	PTN001064565 	J:265628 	
MGI:1914278	2610002M06Rik	RIKEN cDNA 2610002M06 gene	X		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1917941	3830403N18Rik	RIKEN cDNA 3830403N18 gene	X		meiotic cell cycle			IBA	PTN001064565 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		meiotic DNA double-strand break processing involved in reciprocal meiotic recombination			IBA	PTN002860233 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		meiotic DNA double-strand break processing involved in reciprocal meiotic recombination			IMP		J:238491 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		synapsis			IBA	PTN002860233 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		synapsis			IMP		J:238491 	
MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia	15		mitotic spindle assembly			ISO	Q9NRG9 	J:164563 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		regulation of mitotic cell cycle	regulates a function/process that happens in compacted morula		IMP	MGI:2176283 	J:65741 	
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5		G2/M transition of mitotic cell cycle			ISO	P08183 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of mitotic cell cycle			IDA		J:32537 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of mitotic cell cycle			IGI	MGI:97874 MGI:98834 	J:32537 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of mitotic cell cycle			IGI	MGI:97528 MGI:99511 	J:140959 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of cell cycle			IDA		J:74002 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		attachment of spindle microtubules to kinetochore			IBA	PTN001272083 	J:265628 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		mitotic spindle assembly			IBA	PTN001272083 	J:265628 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		signal transduction involved in G2 DNA damage checkpoint			ISO	Q6UWZ7 	J:164563 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		attachment of spindle microtubules to kinetochore			IBA	PTN001272083 	J:265628 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		attachment of spindle microtubules to kinetochore			ISO	Q15018 	J:164563 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		mitotic cell cycle			ISO	Q15018 	J:164563 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		mitotic spindle assembly			IBA	PTN001272083 	J:265628 	
MGI:1926116	Abraxas2	BRISC complex subunit	7		mitotic spindle assembly			ISO	Q15018 	J:164563 	
MGI:87904	Actb	actin, beta	5		negative regulation of cyclin-dependent protein kinase activity	regulates UniProtKB:P49615		IC	GO:0032091 	J:144029 	
MGI:87904	Actb	actin, beta	5		regulation of cyclin-dependent protein serine/threonine kinase activity			ISO	RGD:628837 	J:155856 	
MGI:1858964	Actr1a	ARP1 actin-related protein 1A, centractin alpha	19		establishment of mitotic spindle orientation			IBA	PTN000233665 	J:265628 	
MGI:1917446	Actr1b	ARP1 actin-related protein 1B, centractin beta	1		establishment of mitotic spindle orientation			IBA	PTN000233665 	J:265628 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		meiotic cell cycle	happens in oocyte		IGI	MGI:1921367 	J:172280 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		meiotic chromosome movement towards spindle pole			IGI	MGI:1921367 	J:195195 	
